代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009416,科创50沽7月1250,,,,,,,1.25,48.0,,0.2231,,10,0.0,0.199,0.0,,科创50ETF,1.051,42.15,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009415,科创50购7月1250,,,,,,,1.25,48.0,,0.0021,,10,0.0,0.0,0.0,,科创50ETF,1.051,42.15,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009414,300ETF沽7月4400,,,,,,,4.4,48.0,,0.4405,,10,0.0,0.416,0.0,,沪深300ETF,3.984,22.95,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009413,300ETF购7月4400,,,,,,,4.4,48.0,,0.0048,,10,0.0,0.0,0.0,,沪深300ETF,3.984,22.95,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009412,科创板50沽7月1200,,,,,,,1.2,48.0,,0.2005,,10,0.0,0.175,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009411,科创板50沽7月1150,,,,,,,1.15,48.0,,0.1522,,10,0.0,0.125,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009410,科创板50沽7月1100,,,,,,,1.1,48.0,,0.1061,,10,0.0,0.075,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009409,科创板50沽7月1050,,,,,,,1.05,48.0,,0.0637,,10,0.0,0.025,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009408,科创板50沽7月1000,,,,,,,1.0,48.0,,0.0308,,10,0.0,0.0,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009407,科创板50沽7月950,,,,,,,0.95,48.0,,0.0131,,10,0.0,0.0,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009406,科创板50沽7月900,,,,,,,0.9,48.0,,0.0057,,10,0.0,0.0,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009405,科创板50沽7月850,,,,,,,0.85,48.0,,0.003,,10,0.0,0.0,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009404,科创板50沽7月800,,,,,,,0.8,48.0,,0.0017,,10,0.0,0.0,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009403,科创板50购7月1200,,,,,,,1.2,48.0,,0.0026,,10,0.0,0.0,0.0,,科创板50ETF,1.025,41.51,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
